name_resp,prc_proj_sel,prc_sket_sel
R_27B8RL8cKvh60Do,64,29
R_dhuy2XidfMa2qGd,82,12
R_2wBNekavaLdiAe0,58,35
R_BWd9p6ZWOdgTbFL,53,41
R_Y05n1IkrkCQ0yVr,76,18
R_33g7SjjroyxHnTO,58,35
R_215qT4Kp67UvDxy,58,35
R_1DISRmX07EEiK58,53,41
R_r8CCwsC1xexecYp,41,53
R_3FVbFvZ3lxFJD88,41,53
R_ZpIjFKn7X8cBNbH,53,41
R_1OqPEFBGY9XKkzE,58,35
R_3lVvAkpZmExvuVU,64,29
R_3HRNSPwLZtLitFE,47,47
R_3jdLnBd76X3ZqCX,41,53
R_XuNzAXRV28fqSuR,41,53
R_1OxAo9EBabcPTDl,53,41
R_1KcC8EK8TRXSscm,29,64
R_02J4TvDXl5yyDaV,70,23
R_2SlEcAXTTa60zR1,47,47
R_33sbA7SmKqSpDJM,47,47
R_10Ax4J8DWrbTYJb,70,23
